"Pathway1 KEGG","Pathway2 KEGG","Connecting reactions","Connection metabolites"
"map00620","map00620","R00014|R00196|R00197|R00198|R00199|R00200|R00203|R00205|R00206|R00207|R00211|R00212|R00214|R00216|R00217|R00218|R00219|R00227|R00228|R00229|R00230|R00236|R00238|R00271|R00315|R00316|R00317|R00319|R00320|R00326|R00341|R00342|R00343|R00344|R00345|R00346|R00431|R00472|R00703|R00704|R00710|R00711|R00726|R00742|R00753|R00928|R00998|R01019|R01082|R01196|R01213|R01257|R01446|R01447|R01450|R01735|R01736|R02164|R02260|R02320|R02527|R02530|R02569|R03145|R03270|R04177|R05063|R07618|R09796|R10343","C00022|C00068|C05125|C00011|C00186|C00125|C00126|C00080|C00256|C01070|C01071|C00002|C00001|C00020|C00074|C00009|C00008|C00546|C00003|C00004|C00006|C00005|C00013|C00007|C00227|C00027|C00010|C00024|C00058|C00149|C00036|C03248|C03981|C00033|C00084|C05993|C00332|C00026|C01251|C00028|C00030|C00288|C00044|C00035|C00048|C00081|C00104|C00083|C00163|C00100|C02488|C00109|C00113|C01359|C00122|C00138|C00139|C02504|C00141|C00016|C01352|C00424|C00937|C03451|C00051|C15602|C00042|C15603|C00201|C00454|C15973|C16255|C00399|C00390|C15972|C05994|C06255|C00091"
"map00620","map00760","",""
"map00620","map00020","R00014|R00341|R00342|R00344|R00431|R00726|R01082|R01196|R02164|R02569|R03270|R07618|R10343","C00022|C00068|C05125|C00011|C00002|C00036|C00008|C00074|C00149|C00003|C00004|C00080|C00288|C00009|C00044|C00035|C00081|C00104|C00122|C00001|C00138|C00024|C00139|C00010|C15602|C00042|C15603|C15973|C16255|C15972|C00091|C00033"
"map00620","map00260","",""
"map00620","map00010","R00014|R00200|R00229|R00341|R00431|R00703|R00710|R00711|R00726|R01196|R02569|R03270|R07618","C00022|C00068|C05125|C00011|C00002|C00008|C00074|C00033|C00010|C00024|C00009|C00036|C00044|C00035|C00186|C00003|C00004|C00080|C00084|C00001|C00006|C00005|C00081|C00104|C00138|C00139|C15973|C16255|C15972"
"map00620","map00630","R00238|R00342|R00472","C00024|C00010|C00332|C00149|C00003|C00036|C00004|C00080|C00001|C00048"
"map00620","map00630","R00238|R00342|R00472","C00024|C00010|C00332|C00149|C00003|C00036|C00004|C00080|C00001|C00048"
"map00620","map00640","R00238|R00742|R00928|R02260","C00024|C00010|C00332|C00002|C00288|C00008|C00009|C00083|C00163|C00033|C00100|C00424|C00006|C00546|C00005|C00080"
"map00620","map00650","R00212|R00238|R01196|R02164|R10343","C00024|C00058|C00010|C00022|C00332|C00138|C00011|C00080|C00139|C15602|C00042|C15603|C00122|C00091|C00033"
"map00620","map00072","R00238","C00024|C00010|C00332"
"map00620","map00290","R01213","C02504|C00010|C00024|C00141|C00001"
"map00620","map00300","R00271","C00024|C00001|C00026|C01251|C00010"
"map00620","map00061","R00742","C00002|C00024|C00288|C00008|C00009|C00083"
"map00620","map00290","R01213","C02504|C00010|C00024|C00141|C00001"
"map00621","map00362","R00228|R00750|R02601|R02602|R03966|R04223","C00084|C00010|C00003|C00024|C00004|C00080|C00022|C03589|C00596|C00001|C03453|C00011|C02501"
"map00621","map00621","R00228|R00750|R00818|R02601|R02602|R02606|R03462|R03966|R04223|R05239|R05241|R05245|R05261|R05262|R05263|R05264|R05359|R05360|R05361|R05365|R05411|R05413|R05414|R05415|R05434|R05439|R09512","C00084|C00010|C00003|C00024|C00004|C00080|C00022|C03589|C00805|C00007|C00090|C00011|C00001|C00596|C03453|C01273|C00180|C02526|C02501|C06589|C06585|C06586|C06587|C06584|C00005|C00006|C06588|C02370|C07731|C07734|C08062|C00108|C03569|C07733|C08060|C08061|C07729|C07732"
"map00621","map00364","",""
"map00621","map00020","",""
"map00621","map00620","R00228","C00084|C00010|C00003|C00024|C00004|C00080"
"map00621","map00362","R00228|R00750|R02601|R02602|R03966|R04223","C00084|C00010|C00003|C00024|C00004|C00080|C00022|C03589|C00596|C00001|C03453|C00011|C02501"
"map00621","map00627","",""
"map00622","map00622","R00228|R00750|R02601|R04089|R05138|R05232|R05235|R05240|R05247|R05248|R05266|R05282|R05288|R05289|R05290|R05291|R05292|R05293|R05295|R05298|R05309|R05314|R05347|R05348|R05353|R05364|R05374|R05377|R05389|R05428|R05442|R05443|R05663|R05664|R05665|R05864|R05865|R09097","C00084|C00010|C00003|C00024|C00004|C00080|C00022|C03589|C00596|C00001|C02923|C00007|C06210|C00033|C06576|C06577|C06578|C06579|C06580|C06581|C06575|C06757|C06758|C06756|C00006|C01454|C00005|C06729|C06730|C00011|C06760|C00479|C06762|C06720|C06731|C07216|C07209|C07213|C07214|C07478|C06582|C02632|C07479|C11354|C07215|C07212|C07208|C07211|C00058|C00100"
"map00622","map00010","",""
"map00622","map00020","",""
"map00622","map00640","R09097","C00479|C00003|C00010|C00100|C00004|C00080"
"map00622","map00623","",""
"map00623","map00623","R01293|R01294|R01419|R01420|R01636|R01763|R02550|R02675|R03559|R03560|R03562|R03566|R03608|R04088|R04136|R04510|R05271|R05272|R05281|R05294|R05299|R05300|R05575|R05584|R05587|R05588|R05598|R05599|R05666|R07663|R07665|R07666|R07667|R09201|R09213|R09214|R09215|R09217|R09220|R09221|R09222|R09223|R09224|R09225|R09226|R09229","C00633|C00003|C00001|C00156|C00004|C00080|C00006|C00005|C00261|C00180|C02236|C00007|C00230|C00094|C00556|C00139|C01455|C00138|C01468|C04592|C01542|C01467|C02923|C03351|C03067|C04559|C04558|C06678|C06679|C06677|C06730|C04112|C09819|C09820|C09817|C04253|C09818|C04570|C00010|C00512|C00091|C09816|C00042|C00122|C00059|C00587|C18300|C18301|C18302|C18303|C18308|C18309|C01327|C18310|C18304|C18305|C18306|C18307|C18311|C18312"
"map00623","map00362","",""
"map00623","map00362","",""
"map00623","map00622","",""
"map00623","map00622","",""
"map00623","map00362","",""
"map00624","map00624","R00818|R01628|R01631|R01632|R01633|R01634|R01635|R03630|R03692|R04151|R05148|R05275|R05349|R05350|R05375|R05410|R05412|R05422|R05423|R05430|R05431|R05432|R05433|R05435|R05436|R05437|R05438|R05537|R05538|R05540|R05541|R05542|R05543|R05544|R05545|R05632|R05642|R05643|R05648|R05649|R05650|R05653|R05654|R05655|R05656|R05657|R05658|R05843|R07657|R07687|R07688|R07689|R07690|R07691|R07692|R07693|R07694|R07695|R07696|R07701|R07702|R07703|R07704|R07705|R07707|R07708|R07713|R07799|R07800|R07801|R07802|R07803|R07804|R09159|R09160|R09161|R09162|R09163|R09164|R09165|R09166|R09167|R09168|R09169|R09170|R09171|R09172|R09173|R09174|R09175|R09176|R09177|R09178|R09179|R09180|R09181|R09182|R09183|R09184|R09185|R09202|R09203|R09204|R09205|R09206|R09207|R09208|R09209|R09210|R09211|R09212|R09216|R09218|R09219|R09227|R09228|R09239","C00805|C00007|C00004|C00080|C00090|C00011|C00003|C00001|C00587|C00005|C00230|C00006|C01163|C04484|C06318|C03223|C03233|C01606|C04783|C02274|C01198|C04468|C03164|C06337|C06711|C06712|C06680|C07717|C07718|C07724|C07725|C07715|C07721|C01504|C07720|C07722|C07727|C07728|C00002|C00010|C00016|C00020|C00013|C01352|C00024|C07719|C00022|C07723|C07726|C05359|C03203|C03012|C11425|C11426|C03057|C11427|C11422|C11429|C11431|C11432|C05694|C11433|C05693|C11428|C16149|C14315|C16205|C16206|C16207|C16214|C16215|C16212|C16210|C16211|C16204|C16208|C16213|C16209|C16203|C11430|C16262|C16263|C16264|C00596|C07535|C18276|C18275|C14335|C18249|C18250|C18252|C18253|C18256|C18254|C18255|C18267|C14519|C18265|C18263|C18257|C18266|C18264|C18258|C00019|C18259|C00021|C18262|C18261|C18260|C18269|C18271|C18278|C18272|C18281|C00058|C18273|C18274|C18270|C18279|C18277|C18283|C18282|C18284|C18286|C18285|C18280|C18251|C18314"
"map00624","map00362","R01628|R01631|R01632","C00587|C00007|C00005|C00080|C00230|C00006|C00001|C01163|C04484"
"map00624","map00626","R00818","C00805|C00007|C00004|C00080|C00090|C00011|C00003|C00001"
"map00624","map00362","R01628|R01631|R01632","C00587|C00007|C00005|C00080|C00230|C00006|C00001|C01163|C04484"
"map00625","map00620","",""
"map00625","map00625","R00603|R00604|R00614|R05233|R05234|R05237|R05238|R05284|R05285|R05286|R05287|R05351|R05367|R05368|R05371|R05372|R05380|R05444|R05496|R05498|R05499|R05500|R05501|R05502|R05503|R05842|R06973|R09128|R09141|R09142|R09143|R09144|R09145|R09146|R09147|R09148|R09149|R09150|R09151|R09152|R09154|R09155|R09156|R09157|R09158","C02271|C00001|C00067|C01327|C00003|C00058|C00004|C00080|C00132|C06611|C06613|C06612|C16348|C06614|C06615|C06752|C06753|C00125|C06754|C00126|C06755|C00160|C06548|C00010|C00024|C06609|C06610|C00222|C00084|C01548|C06547|C00007|C00138|C00002|C00139|C00008|C00009|C06793|C06789|C06790|C06791|C06792|C01380|C00011|C18233|C18234|C11148|C00237|C11149|C00048|C14866|C18246|C07490|C11150|C18247|C18248|C00030|C00028|C00209"
"map00625","map00630","",""
"map00625","map00680","R00604|R00614","C00067|C00003|C00001|C00058|C00004|C00080|C00132"
"map00625","map00630","",""
"map00626","map00622","",""
"map00626","map00622","",""
"map00626","map00626","R00818|R02941|R02968|R04115|R04117|R05136|R05137|R06898|R06899|R06900|R06901|R06902|R06903|R06904|R06905|R06906|R06907|R06908|R06909|R06910|R06911|R06912|R06913|R06914|R06915|R06916|R06917|R06918|R06919|R06920|R06921|R06922|R06923|R06924|R06925|R06926|R06927|R06928|R06929|R06930|R06931|R06932|R06933|R06934|R06935|R06936|R06937|R06938|R06939|R07682|R07683|R07684|R07685|R07686|R07698|R07699|R07709|R07710|R07881","C00805|C00007|C00004|C00080|C00090|C00011|C00003|C00001|C06202|C00829|C04314|C03012|C06204|C00022|C06203|C14101|C14111|C14113|C14112|C14114|C01352|C03203|C00016|C14098|C00122|C14115|C00091|C14116|C00042|C14117|C14118|C14119|C00010|C14120|C14082|C14083|C14084|C14085|C14086|C14087|C14088|C02923|C14089|C14090|C14091|C14092|C14093|C14094|C14095|C14096|C14097|C00027|C02909|C14099|C14100|C14104|C14105|C14106|C14107|C14108|C14109|C14110|C14102|C14103|C06730|C16193|C16196|C00094|C16194|C16198|C16199|C00628|C00059|C16201|C16202|C00005|C00006"
"map00626","map00362","",""
"map00626","map00350","",""
"map00627","map00361","R05399|R06851","C07103|C00004|C00080|C02814|C00003|C00530|C00005|C00007|C00006|C00001"
"map00627","map00362","R00821|R01295|R01300|R01422|R01632|R03026|R04277|R04278|R04279|R04489|R05316","C00196|C00090|C00011|C00180|C00007|C00005|C00080|C00156|C00006|C00001|C00002|C00010|C00020|C00013|C02949|C00512|C00230|C04484|C01144|C00877|C03671|C04434|C05375|C00003|C00004|C00138|C00139"
"map00627","map00380","R03026","C01144|C00877|C00001"
"map00627","map00362","R00821|R01295|R01300|R01422|R01632|R03026|R04277|R04278|R04279|R04489|R05316","C00196|C00090|C00011|C00180|C00007|C00005|C00080|C00156|C00006|C00001|C00002|C00010|C00020|C00013|C02949|C00512|C00230|C04484|C01144|C00877|C03671|C04434|C05375|C00003|C00004|C00138|C00139"
"map00627","map00380","R03026","C01144|C00877|C00001"
"map00627","map00362","R00821|R01295|R01300|R01422|R01632|R03026|R04277|R04278|R04279|R04489|R05316","C00196|C00090|C00011|C00180|C00007|C00005|C00080|C00156|C00006|C00001|C00002|C00010|C00020|C00013|C02949|C00512|C00230|C04484|C01144|C00877|C03671|C04434|C05375|C00003|C00004|C00138|C00139"
"map00630","map00020","R00342|R00351|R01325|R01900","C00149|C00003|C00036|C00004|C00080|C00158|C00010|C00024|C00001|C00417|C00311"
"map00630","map00710","R00342","C00149|C00003|C00036|C00004|C00080"
"map00630","map00630","R00009|R00013|R00021|R00238|R00253|R00273|R00339|R00342|R00351|R00372|R00465|R00466|R00468|R00470|R00472|R00473|R00474|R00475|R00476|R00477|R00479|R00518|R00519|R00521|R00522|R00524|R00525|R00526|R00588|R00653|R00717|R00833|R00934|R00944|R00945|R01180|R01221|R01256|R01325|R01333|R01334|R01388|R01390|R01392|R01393|R01394|R01514|R01558|R01559|R01745|R01747|R01749|R01750|R01781|R01859|R01900|R01908|R01959|R01977|R02509|R02544|R02545|R02546|R02547|R02765|R03027|R03040|R03127|R03128|R03140|R03146|R05076|R06180|R09291|R09292|R09293|R09979","C00027|C00007|C00001|C00048|C01146|C00011|C00025|C00139|C00064|C00026|C00138|C00080|C00024|C00010|C00332|C00002|C00014|C00008|C00009|C00209|C00898|C00036|C00149|C00003|C00004|C00158|C00037|C00160|C00006|C00005|C00313|C01127|C00022|C04348|C03217|C00028|C00030|C01990|C00311|C00042|C00058|C02405|C00798|C00488|C01045|C01044|C00049|C00065|C00168|C03145|C00073|C01213|C00091|C00100|C06027|C00234|C00101|C00143|C01989|C00136|C00417|C00266|C00988|C00258|C00975|C00197|C00020|C00013|C03459|C01380|C00288|C00683|C02700|C00328|C03561|C03134|C00543|C00552|C03548|C00877|C02123|C00888|C01182|C00995|C00998|C06028|C18026|C20238|C18324"
"map00630","map00053","",""
"map00630","map00620","R00238|R00342|R00472","C00024|C00010|C00332|C00149|C00003|C00036|C00004|C00080|C00001|C00048"
"map00630","map00620","R00238|R00342|R00472","C00024|C00010|C00332|C00149|C00003|C00036|C00004|C00080|C00001|C00048"
"map00630","map00620","R00238|R00342|R00472","C00024|C00010|C00332|C00149|C00003|C00036|C00004|C00080|C00001|C00048"
"map00630","map00750","",""
"map00630","map00230","",""
"map00630","map00910","R00021|R00253|R00524","C00025|C00139|C00064|C00026|C00138|C00080|C00002|C00014|C00008|C00009|C00488|C00001|C00058"
"map00630","map00260","R00372|R00588|R00945|R01388|R01392|R01514","C00037|C00026|C00048|C00025|C00065|C00168|C00143|C00001|C00101|C00258|C00003|C00004|C00080|C00006|C00005|C00002|C00008|C00197"
"map00630","map00020","R00342|R00351|R01325|R01900","C00149|C00003|C00036|C00004|C00080|C00158|C00010|C00024|C00001|C00417|C00311"
"map00630","map00710","R00342","C00149|C00003|C00036|C00004|C00080"
"map00630","map00250","R00253","C00002|C00025|C00014|C00008|C00009|C00064"
"map00630","map00710","R00342","C00149|C00003|C00036|C00004|C00080"
"map00633","map00623","",""
"map00633","map00633","R08014|R08015|R08016|R08017|R08018|R08019|R08020|R08027|R08030|R08033|R08034|R08035|R08036|R08037|R08038|R08040|R08041|R08042|R08043|R08044|R08045|R08046|R08047|R08048|R08049|R09230|R09231|R09232|R09233|R09234|R09235|R09236|R09237|R09238|R09240|R09241|R09242|R09243","C16391|C00005|C00080|C16392|C00006|C00001|C16402|C16403|C00004|C00003|C16394|C00007|C16413|C16396|C16400|C16397|C16395|C16398|C16399|C00024|C16420|C00010|C16393|C16412|C16411|C16401|C01468|C16414|C14401|C11006|C18320|C18315|C00088|C18316|C18317|C18318|C06002|C00022"
"map00633","map00280","",""
"map00640","map00640","R00233|R00238|R00353|R00405|R00409|R00432|R00705|R00706|R00740|R00742|R00743|R00744|R00833|R00907|R00908|R00914|R00920|R00921|R00923|R00926|R00928|R00930|R00931|R00935|R00993|R00997|R01000|R01016|R01199|R01353|R01354|R01359|R01366|R01449|R01550|R01608|R01611|R01859|R02257|R02260|R02376|R02377|R02528|R02764|R02765|R02963|R03045|R03046|R03158|R03381|R03872|R04424|R04425|R04432|R04919|R06987|R09097|R10702|R10703|R10704|R10705|R10715|R10717|R10718","C00083|C00024|C00011|C00010|C00332|C00022|C00036|C00002|C00042|C00008|C00009|C00091|C04593|C00044|C00035|C00222|C00003|C00004|C00080|C00006|C00005|C00288|C00383|C00033|C05989|C00001|C01213|C00041|C00099|C00026|C00025|C02335|C00163|C00100|C02876|C00683|C05983|C00020|C02225|C06002|C00109|C00007|C01234|C00014|C05984|C00111|C00546|C00139|C00138|C00013|C00164|C00207|C00827|C00186|C01845|C01013|C00804|C00583|C00424|C00479|C05979|C05235|C02170|C00894|C05668|C04225|C04253|C04570|C00058|C20783|C17530|C00132"
"map00640","map00770","",""
"map00640","map00010","",""
"map00640","map00280","R00238|R00833|R00935|R01859|R02764|R02765","C00024|C00010|C00332|C01213|C00091|C06002|C00003|C00100|C00011|C00004|C00080|C00002|C00288|C00008|C00009|C00683|C00001|C02170"
"map00640","map00660","R00993","C00109|C00009|C00007|C02876|C00011|C00001"
"map00640","map00410","R00233|R00705|R00706|R00743|R00907|R00908|R01608|R01611|R03045|R03046|R03158","C00083|C00024|C00011|C00222|C00010|C00003|C00004|C00080|C00006|C00005|C00383|C00033|C00041|C00022|C00099|C00026|C00025|C01013|C00804|C00001|C05668|C00894|C02335|C00014"
"map00640","map00270","",""
"map00640","map00641","",""
"map00640","map00620","R00238|R00742|R00928|R02260","C00024|C00010|C00332|C00002|C00288|C00008|C00009|C00083|C00163|C00033|C00100|C00424|C00006|C00546|C00005|C00080"
"map00640","map00010","",""
"map00640","map00020","R00405|R00432","C00002|C00042|C00010|C00008|C00009|C00091|C00044|C00035"
"map00640","map00620","R00238|R00742|R00928|R02260","C00024|C00010|C00332|C00002|C00288|C00008|C00009|C00083|C00163|C00033|C00100|C00424|C00006|C00546|C00005|C00080"
"map00640","map00280","R00238|R00833|R00935|R01859|R02764|R02765","C00024|C00010|C00332|C01213|C00091|C06002|C00003|C00100|C00011|C00004|C00080|C00002|C00288|C00008|C00009|C00683|C00001|C02170"
"map00642","map00620","",""
"map00642","map00643","",""
"map00642","map00642","R05313|R05352|R05366|R05416|R05424|R05425|R05426|R05427|R05440|R05452|R05453|R05506|R05745","C06727|C00003|C06728|C00004|C00080|C11348|C07113|C07123|C00001|C00596|C00163|C00007|C07111|C07083|C07189|C07114|C00010|C00002|C00013|C07118|C00020|C00288|C00008|C00009|C00512|C00024|C00028|C00030"
"map00642","map00640","",""
"map00642","map00362","",""
"map00643","map00642","",""
"map00643","map00020","",""
"map00643","map00620","",""
"map00643","map00643","R01364|R02517|R02519|R02536|R02540|R02963|R03181|R05354|R05358|R05362|R05379|R05404|R05417|R05450|R05487|R05488|R05508|R05509|R05551|R07638|R07854|R07855|R10697","C00164|C00122|C01061|C00001|C05593|C00007|C00005|C00080|C00544|C00006|C01036|C00601|C00003|C07086|C00004|C02505|C00014|C00827|C00894|C07084|C07085|C01998|C00511|C07087|C00596|C01659|C07083|C05852|C01352|C20782|C00016|C00033|C00186|C00024|C16075|C16074"
"map00643","map00640","R02963","C00827|C00894|C00001"
"map00643","map00362","",""
"map00643","map00360","R02536|R02540|R05487","C00601|C00003|C00001|C07086|C00004|C00080|C02505|C00014|C00007|C05852"
"map00650","map01056","",""
"map00650","map00250","R00261|R00713|R00714|R01648|R10178","C00025|C00334|C00011|C00232|C00003|C00001|C00042|C00004|C00080|C00006|C00005|C00026|C00022|C00041"
"map00650","map00072","R00238|R00410|R01360|R01361|R01978","C00024|C00010|C00332|C00091|C00164|C00042|C00356|C01089|C00003|C00004|C00080|C00001"
"map00650","map00620","R00212|R00238|R01196|R02164|R10343","C00024|C00058|C00010|C00022|C00332|C00138|C00011|C00080|C00139|C15602|C00042|C15603|C00122|C00091|C00033"
"map00650","map00010","R01196","C00138|C00024|C00011|C00080|C00139|C00022|C00010"
"map00650","map00650","R00048|R00212|R00215|R00226|R00238|R00261|R00410|R00713|R00714|R01087|R01171|R01172|R01173|R01174|R01175|R01176|R01179|R01196|R01357|R01358|R01360|R01361|R01367|R01644|R01648|R01688|R01975|R01976|R01977|R01978|R02164|R02419|R02855|R02946|R02948|R02949|R03026|R03027|R03028|R03031|R03276|R03534|R03544|R03545|R03707|R03937|R04000|R04254|R05118|R05119|R05120|R05121|R05336|R09078|R09280|R09281|R09738|R10178|R10343|R10504|R10505|R10506|R10782","C04546|C00001|C01089|C00024|C00058|C00010|C00022|C00497|C00003|C00011|C00004|C00080|C06010|C00332|C00025|C00334|C00091|C00164|C00042|C00232|C00006|C00005|C01384|C00122|C00136|C00877|C01412|C00009|C02527|C00016|C01352|C00002|C00246|C00020|C00013|C00033|C00138|C00139|C00356|C06144|C00989|C00026|C00008|C01144|C03561|C15602|C15603|C00810|C00741|C03044|C01769|C02411|C02331|C02630|C06142|C03046|C03058|C06143|C11552|C06145|C00113|C01359|C06146|C11062|C00041|C20657|C00028|C00030"
"map00650","map00020","R01196|R02164|R10343","C00138|C00024|C00011|C00080|C00139|C00022|C00010|C15602|C00042|C15603|C00122|C00091|C00033"
"map00650","map00750","",""
"map00650","map00250","R00261|R00713|R00714|R01648|R10178","C00025|C00334|C00011|C00232|C00003|C00001|C00042|C00004|C00080|C00006|C00005|C00026|C00022|C00041"
"map00650","map00330","",""
"map00660","map00760","",""
"map00660","map00290","R00226|R00994|R03896|R03898","C06010|C00011|C00022|C00109|C00004|C00080|C06032|C00003|C02612|C02226|C00001"
"map00660","map00250","",""
"map00660","map00640","R00993","C00109|C00009|C00007|C02876|C00011|C00001"
"map00660","map00620","",""
"map00660","map00010","",""
"map00660","map00660","R00008|R00226|R00237|R00262|R00325|R00932|R00934|R00993|R00994|R00995|R02243|R02404|R02407|R02491|R02711|R02712|R02713|R02948|R03153|R03154|R03693|R03694|R03695|R03696|R03896|R03897|R03898|R03995|R04269|R05076|R05077|R05078|R05079","C06033|C00022|C06010|C00011|C01011|C00024|C03618|C00025|C02614|C00033|C02630|C00010|C00100|C00001|C00048|C06027|C00109|C00009|C00007|C02876|C00004|C00080|C06032|C00003|C06030|C00417|C00490|C00002|C00008|C00531|C00091|C00042|C00651|C00014|C00020|C00013|C01109|C06035|C00810|C01732|C06029|C06028|C02612|C02226|C06031|C00026|C06034|C06234"
"map00660","map00020","",""
"map00670","map00670","R00936|R00937|R00939|R00940|R00941|R00943|R00944|R00945|R00946|R01217|R01218|R01220|R01224|R01225|R01655|R01669|R02101|R02235|R02236|R02287|R02300|R02301|R02302|R02573|R02729|R03189|R03940|R04125|R04325|R04326|R04560|R06613|R07168","C00101|C00003|C00415|C00004|C00080|C00504|C00006|C00005|C00234|C00001|C00011|C00058|C00002|C00008|C00009|C00143|C00037|C00065|C00440|C00155|C00073|C00138|C00139|C00445|C00133|C02115|C00239|C03997|C00365|C00364|C00664|C00025|C00439|C03479|C00014|C01008|C00580|C02718|C01045|C02430|C03294|C01242|C02972|C03838|C04376|C04677|C04734"
"map00670","map00790","R00936|R00937|R00939|R00940|R02235|R02236","C00101|C00003|C00415|C00004|C00080|C00504|C00006|C00005"
"map00680","map00680","R00134|R00199|R00230|R00235|R00296|R00315|R00342|R00345|R00473|R00519|R00527|R00582|R00588|R00604|R00605|R00606|R00608|R00609|R00614|R00658|R00756|R00762|R00945|R01011|R01068|R01142|R01146|R01196|R01256|R01388|R01440|R01513|R01518|R01586|R01588|R02511|R02512|R02560|R03015|R03025|R03390|R03464|R04173|R04347|R04455|R04456|R04464|R04540|R04541|R05338|R05339|R05623|R05774|R05789|R06982|R06983|R07136|R07157|R07476|R08058|R08059|R08060|R08214|R08215|R08217|R08323|R08328|R08331|R08332|R08572|R09096|R09098|R09099|R09124|R09153|R09396|R09397|R09398|R09399|R09400|R09401|R09518|R09998|R09999|R10392|R10393|R10395|R10396|R10397","C00058|C00006|C00011|C00005|C00080|C00002|C00022|C00001|C00020|C00074|C00009|C00024|C00010|C00227|C00033|C00013|C00237|C00028|C00030|C00008|C00149|C00003|C00036|C00004|C04348|C00048|C01031|C00051|C01005|C00065|C00168|C00037|C00067|C00132|C00218|C19671|C00014|C19672|C00007|C00027|C01046|C00025|C00631|C00085|C00354|C00143|C00101|C00184|C00111|C00118|C01438|C18233|C18234|C00138|C00139|C00258|C00231|C00197|C03232|C00543|C04253|C04570|C00565|C01104|C00016|C01352|C01001|C00862|C00876|C00282|C01080|C01217|C01274|C04330|C00026|C04488|C03576|C03920|C04377|C04832|C11904|C04628|C11903|C00199|C06019|C05528|C00593|C11536|C11537|C14180|C00094|C16597|C16588|C16600|C16589|C16594|C16593|C00188|C16590|C00322|C16583|C16598|C01179|C04732|C00019|C19154|C00073|C05198|C00209|C19156|C00044|C19155|C19153|C00144|C19152|C00035|C19151|C15603|C15602|C20581|C20582"
"map00680","map00790","",""
"map00680","map00630","R00342|R00473|R00519|R00588|R00945|R01256|R01388","C00149|C00003|C00036|C00004|C00080|C04348|C00024|C00048|C00058|C00011|C00065|C00168|C00037|C00143|C00001|C00101|C00002|C00010|C00008|C00009|C00258"
"map00680","map00630","R00342|R00473|R00519|R00588|R00945|R01256|R01388","C00149|C00003|C00036|C00004|C00080|C04348|C00024|C00048|C00058|C00011|C00065|C00168|C00037|C00143|C00001|C00101|C00002|C00010|C00008|C00009|C00258"
"map00680","map00720","R00134|R00199|R00230|R00235|R00315|R00342|R00345|R00473|R01196|R07157","C00058|C00006|C00011|C00005|C00080|C00002|C00022|C00001|C00020|C00074|C00009|C00024|C00010|C00227|C00033|C00013|C00008|C00149|C00003|C00036|C00004|C04348|C00048|C00138|C00139|C00237"
"map00680","map00260","R00582|R00588|R00945|R01388|R01513|R01518|R04173|R08572","C01005|C00001|C00065|C00009|C00048|C00168|C00037|C00143|C00101|C00258|C00003|C00004|C00080|C00197|C03232|C00631|C00026|C00025|C00002|C00008"
"map00680","map00030","R05338|R08572","C00199|C00067|C06019|C00258|C00002|C00631|C00008"
"map00680","map00920","",""
"map00680","map00740","",""
"map00680","map00300","",""
"map00680","map00910","",""
"map00710","map00710","R00024|R00206|R00214|R00216|R00258|R00341|R00342|R00343|R00345|R00355|R00761|R00762|R01015|R01056|R01061|R01063|R01067|R01068|R01512|R01523|R01529|R01621|R01641|R01829|R01844|R01845","C01182|C00011|C00001|C00197|C00002|C00022|C00009|C00020|C00074|C00013|C00149|C00003|C00004|C00080|C00006|C00005|C00041|C00026|C00025|C00036|C00008|C00049|C00085|C00227|C00279|C00354|C00118|C00111|C00117|C00199|C00236|C00231|C05382|C00447|C02076"
"map00710","map00400","",""
"map00710","map00010","R00341|R01015|R01061|R01063|R01512","C00002|C00036|C00008|C00074|C00011|C00118|C00111|C00009|C00003|C00236|C00004|C00080|C00006|C00005|C00197"
"map00710","map00630","R00342","C00149|C00003|C00036|C00004|C00080"
"map00710","map00720","R00206|R00342|R00345","C00002|C00022|C00009|C00020|C00074|C00013|C00149|C00003|C00036|C00004|C00080|C00001|C00011"
"map00710","map00010","R00341|R01015|R01061|R01063|R01512","C00002|C00036|C00008|C00074|C00011|C00118|C00111|C00009|C00003|C00236|C00004|C00080|C00006|C00005|C00197"
"map00720","map00710","R00206|R00342|R00345","C00002|C00022|C00009|C00020|C00074|C00013|C00149|C00003|C00036|C00004|C00080|C00001|C00011"
"map00720","map00720","R00134|R00199|R00206|R00230|R00235|R00237|R00238|R00267|R00315|R00342|R00344|R00345|R00352|R00354|R00402|R00405|R00406|R00473|R00740|R00742|R00833|R00919|R00934|R00943|R01082|R01196|R01197|R01220|R01322|R01325|R01655|R01859|R01900|R01975|R02164|R02289|R02765|R03026|R03045|R03157|R05076|R07157|R07168|R09279|R09280|R09281|R09282|R09283|R09286|R09289|R10243|R10660|R10758|R10782|R10866","C00058|C00006|C00011|C00005|C00080|C00002|C00022|C00001|C00020|C00074|C00009|C00013|C00024|C00010|C00227|C00033|C01011|C00332|C00311|C00026|C00008|C00149|C00003|C00036|C00004|C00288|C00158|C00566|C00042|C00122|C00091|C04348|C00048|C00222|C00083|C01213|C00100|C00894|C06027|C00101|C00234|C00138|C00139|C00143|C00445|C00417|C00683|C01144|C15602|C15603|C00440|C06021|C06020|C00877|C05668|C01013|C06028|C00237|C00989|C11062|C00232|C18323|C03576|C04628|C04832|C02869|C02745"
"map00730","map00260","",""
"map00730","map00400","",""
